Mars Hill,Error,UNC Greensboro,2430
1:29,2369,Grant Clarke missed Free Throw.,24,54
1:29,2369,Mars Hill Deadball Team Rebound.,24,54
1:29,2369,Grant Clarke made Free Throw.,25,54
1:12,2430,Demetrius Troy missed Jumper.,25,54
1:12,2369,Grant Clarke Defensive Rebound.,25,54
1:00,2369,Cody Hylton missed Three Point Jumper.,25,54
1:00,2430,R.J. White Defensive Rebound.,25,54
0:53,2430,Diante Baldwin made Layup.,25,56
0:44,2369,Vernon Jackson Turnover.,25,56
0:43,2430,Diante Baldwin Steal.,25,56
0:38,2430,Marvin Smith made Jumper.,25,58
0:05,2369,Mars Hill  Turnover.,25,58
0:00,2430,End of 1st half,25,58
19:50,2369,Valentine Bauer Turnover.,25,58
19:49,2430,R.J. White Steal.,25,58
19:46,2430,Francis Alonso missed Three Point Jumper.,25,58
19:46,2430,Jordy Kuiper Offensive Rebound.,25,58
19:43,2369,Foul on Brandon Watkins.,25,58
19:30,2430,Jordy Kuiper made Layup. Assisted by R.J. White.,25,60
19:15,2369,Collin Hartman missed Three Point Jumper.,25,60
19:15,2430,R.J. White Defensive Rebound.,25,60
19:05,2369,Foul on Cody Hylton.,25,60
18:53,2430,R.J. White missed Layup.,25,60
18:53,2369,Brandon Watkins Defensive Rebound.,25,60
18:36,2369,Vernon Jackson missed Three Point Jumper.,25,60
18:36,2430,Jordy Kuiper Defensive Rebound.,25,60
18:28,2430,Diante Baldwin made Layup.,25,62
18:11,2369,Brandon Watkins missed Jumper.,25,62
18:11,2430,R.J. White Defensive Rebound.,25,62
17:48,2430,Diante Baldwin missed Three Point Jumper.,25,62
17:42,2430,Marvin Smith Offensive Rebound.,25,62
17:40,2430,Marvin Smith made Layup.,25,64
17:31,2430,Foul on Marvin Smith.,25,64
17:09,2369,Valentine Bauer missed Three Point Jumper.,25,64
17:09,2430,Diante Baldwin Defensive Rebound.,25,64
17:04,2430,Diante Baldwin Turnover.,25,64
16:56,2430,Foul on Francis Alonso.,25,64
16:50,2369,Foul on Bennett Wilson.,25,64
16:50,2369,Bennett Wilson Turnover.,25,64
16:37,2430,James Dickey made Layup. Assisted by Demetrius Troy.,25,66
16:37,2369,Foul on Vernon Jackson.,25,66
16:37,2430,James Dickey missed Free Throw.,25,66
16:37,2369,Luke Van-Rijn Defensive Rebound.,25,66
16:30,2369,Bennett Wilson Turnover.,25,66
16:29,2430,Demetrius Troy Steal.,25,66
16:25,2430,R.J. White made Layup. Assisted by Diante Baldwin.,25,68
16:25,2369,Foul on Valentine Bauer.,25,68
16:25,2430,R.J. White made Free Throw.,25,69
16:12,2369,Bennett Wilson missed Layup.,25,69
16:12,2430,James Dickey Defensive Rebound.,25,69
16:05,2430,R.J. White missed Dunk.,25,69
16:05,2369,Luke Van-Rijn Defensive Rebound.,25,69
15:49,2369,Valentine Bauer missed Jumper.,25,69
15:49,2369,Valentine Bauer Offensive Rebound.,25,69
15:42,2369,Luke Van-Rijn missed Three Point Jumper.,25,69
15:42,2430,Malik Massey Defensive Rebound.,25,69
15:34,2369,Foul on Grant Clarke.,25,69
15:34,2430,Official TV Timeout,25,69
15:34,2430,Diante Baldwin made Free Throw.,25,70
15:34,2430,Diante Baldwin made Free Throw.,25,71
15:26,2430,Foul on Marvin Smith.,25,71
15:19,2430,Foul on Demetrius Troy.,25,71
15:17,2369,Luke Van-Rijn made Three Point Jumper. Assisted by Valentine Bauer.,28,71
14:54,2430,James Dickey missed Jumper.,28,71
14:54,2369,Dotson Griffin Defensive Rebound.,28,71
14:38,2430,Foul on Malik Massey.,28,71
14:26,2369,Dotson Griffin missed Layup.,28,71
14:26,2430,Kyrin Galloway Block.,28,71
14:17,2369,Valentine Bauer Offensive Rebound.,28,71
14:11,2369,Valentine Bauer Turnover.,28,71
13:58,2430,Marvin Smith Turnover.,28,71
13:42,2369,Bennett Wilson Turnover.,28,71
13:41,2430,Demetrius Troy Steal.,28,71
13:28,2430,James Dickey missed Jumper.,28,71
13:28,2369,Mars Hill Defensive Rebound.,28,71
13:02,2430,Foul on James Dickey.,28,71
12:45,2369,Luke Van-Rijn made Three Point Jumper. Assisted by Makyle Wilkerson.,31,71
12:27,2430,Malik Massey made Three Point Jumper. Assisted by Kyrin Galloway.,31,74
12:16,2369,Makyle Wilkerson missed Jumper.,31,74
12:16,2369,Luke Van-Rijn Offensive Rebound.,31,74
12:13,2369,Luke Van-Rijn missed Layup.,31,74
12:13,2369,Dotson Griffin Offensive Rebound.,31,74
12:11,2369,Dotson Griffin missed Layup.,31,74
12:11,2430,James Dickey Defensive Rebound.,31,74
12:00,2430,Demetrius Troy made Three Point Jumper. Assisted by Malik Massey.,31,77
11:43,2369,Luke Van-Rijn Turnover.,31,77
11:43,2430,Garrett Collins Steal.,31,77
11:42,2430,Official TV Timeout,31,77
11:23,2430,Garrett Collins made Three Point Jumper. Assisted by Demetrius Troy.,31,80
11:09,2369,Luke Van-Rijn made Three Point Jumper. Assisted by Charles Moore.,34,80
10:55,2430,Demetrius Troy missed Three Point Jumper.,34,80
10:55,2369,Luke Van-Rijn Defensive Rebound.,34,80
10:30,2369,Bennett Wilson Turnover.,34,80
10:29,2430,Malik Massey Steal.,34,80
10:15,2430,Demetrius Troy made Three Point Jumper. Assisted by Kyrin Galloway.,34,83
9:53,2430,Foul on Demetrius Troy.,34,83
9:53,2369,Charles Moore made Free Throw.,35,83
9:53,2369,Charles Moore made Free Throw.,36,83
9:32,2430,Kyrin Galloway made Jumper.,36,85
9:21,2369,Mars Hill  Timeout,36,85
9:06,2369,Indiana Rotondo missed Three Point Jumper.,36,85
9:06,2430,Malik Massey Defensive Rebound.,36,85
8:53,2430,Lloyd Burgess Turnover.,36,85
8:52,2369,Justin Hartfield Steal.,36,85
8:44,2369,Makyle Wilkerson Turnover.,36,85
8:44,2430,Lloyd Burgess Steal.,36,85
8:40,2369,Foul on Makyle Wilkerson.,36,85
8:40,2430,Francis Alonso made Free Throw.,36,86
8:40,2430,Francis Alonso made Free Throw.,36,87
8:25,2369,Indiana Rotondo made Three Point Jumper. Assisted by Manny Polston.,39,87
7:55,2430,Francis Alonso made Three Point Jumper. Assisted by Taqqi Muhammad.,39,90
7:52,2430,UNC Greensboro  Timeout,39,90
7:52,2430,Official TV Timeout,39,90
7:44,2369,Justin Hartfield missed Three Point Jumper.,39,90
7:44,2369,Makyle Wilkerson Offensive Rebound.,39,90
7:37,2369,Charles Moore missed Three Point Jumper.,39,90
7:37,2369,Makyle Wilkerson Offensive Rebound.,39,90
7:24,2369,Justin Hartfield made Layup.,41,90
7:13,2430,Foul on Taqqi Muhammad.,41,90
7:13,2430,Taqqi Muhammad Turnover.,41,90
6:55,2369,Indiana Rotondo made Three Point Jumper. Assisted by Justin Hartfield.,44,90
6:41,2430,Jelani Mofford missed Three Point Jumper.,44,90
6:41,2369,Mars Hill Defensive Rebound.,44,90
6:33,2430,Foul on Jelani Mofford.,44,90
6:33,2369,Justin Hartfield missed Free Throw.,44,90
6:33,2430,Lloyd Burgess Defensive Rebound.,44,90
6:14,2430,Lloyd Burgess made Jumper.,44,92
5:56,2369,Justin Hartfield missed Three Point Jumper.,44,92
5:56,2430,Garrett Collins Defensive Rebound.,44,92
5:40,2430,Jelani Mofford missed Three Point Jumper.,44,92
5:40,2369,Manny Polston Defensive Rebound.,44,92
5:31,2430,Foul on Jelani Mofford.,44,92
5:31,2369,Charles Moore missed Free Throw.,44,92
5:31,2369,Mars Hill Deadball Team Rebound.,44,92
5:31,2369,Charles Moore made Free Throw.,45,92
5:13,2430,Malik Massey missed Three Point Jumper.,45,92
5:13,2369,Justin Hartfield Defensive Rebound.,45,92
5:07,2369,Charles Moore missed Three Point Jumper.,45,92
5:07,2430,UNC Greensboro Defensive Rebound.,45,92
4:40,2369,Foul on Manny Polston.,45,92
4:40,2430,Taqqi Muhammad made Free Throw.,45,93
4:40,2430,Taqqi Muhammad made Free Throw.,45,94
4:28,2369,Tavion Trimble made Layup. Assisted by Keegan Noble.,47,94
4:13,2430,Garrett Collins made Three Point Jumper. Assisted by Jelani Mofford.,47,97
4:02,2369,Tavion Trimble Turnover.,47,97
4:01,2430,Kyrin Galloway Steal.,47,97
4:00,2430,Kyrin Galloway made Dunk.,47,99
3:44,2369,Justin Hartfield missed Three Point Jumper.,47,99
3:44,2430,Kyrin Galloway Defensive Rebound.,47,99
3:22,2430,Jelani Mofford Turnover.,47,99
3:21,2369,Tavion Trimble Steal.,47,99
3:18,2369,Justin Hartfield made Layup. Assisted by Tavion Trimble.,49,99
3:08,2430,Jelani Mofford missed Jumper.,49,99
3:08,2369,Justin Hartfield Block.,49,99
3:06,2369,Justin Hartfield Defensive Rebound.,49,99
3:03,2369,Indiana Rotondo missed Three Point Jumper.,49,99
3:03,2430,Taqqi Muhammad Defensive Rebound.,49,99
2:56,2430,Taqqi Muhammad made Layup.,49,101
2:56,2369,Foul on Charles Moore.,49,101
2:56,2430,Official TV Timeout,49,101
2:56,2430,Taqqi Muhammad made Free Throw.,49,102
2:45,2369,Justin Hartfield Turnover.,49,102
2:44,2430,Malik Massey Steal.,49,102
2:42,2430,Taqqi Muhammad Turnover.,49,102
2:27,2369,Keegan Noble missed Jumper.,49,102
2:27,2430,Kyrin Galloway Block.,49,102
2:26,2430,Kyrin Galloway Defensive Rebound.,49,102
2:19,2369,Foul on Tavion Trimble.,49,102
2:19,2430,Malik Massey missed Free Throw.,49,102
2:19,2430,UNC Greensboro Deadball Team Rebound.,49,102
2:19,2430,Malik Massey missed Free Throw.,49,102
2:19,2430,Lloyd Burgess Offensive Rebound.,49,102
2:16,2430,Jelani Mofford made Three Point Jumper. Assisted by Malik Massey.,49,105
1:57,2369,Tavion Trimble Turnover.,49,105
1:56,2430,Jelani Mofford Steal.,49,105
1:52,2430,Malik Massey made Layup.,49,107
1:28,2369,Andrew Barber made Three Point Jumper. Assisted by Tavion Trimble.,52,107
1:05,2369,Foul on Keegan Noble.,52,107
1:05,2430,Lloyd Burgess made Free Throw.,52,108
1:05,2430,Lloyd Burgess missed Free Throw.,52,108
1:05,2369,Justin Hartfield Defensive Rebound.,52,108
0:56,2369,Tavion Trimble made Layup.,54,108
0:34,2430,Kyrin Galloway missed Jumper.,54,108
0:34,2369,Tavion Trimble Block.,54,108
0:32,2369,Cody Hylton Defensive Rebound.,54,108
0:20,2369,Keegan Noble missed Jumper.,54,108
0:20,2430,Malik Massey Defensive Rebound.,54,108
0:14,2430,Malik Massey Turnover.,54,108
0:13,2369,Justin Hartfield Steal.,54,108
0:05,2369,Cody Hylton missed Three Point Jumper.,54,108
0:05,2369,Andrew Barber Offensive Rebound.,54,108
0:02,2369,Andrew Barber made Jumper.,56,108
0:00,2430,End of Game,56,108
