North Carolina,2633,Tennessee,153
11:30,2633,Official TV Timeout,53,54
11:30,153,Kenny Williams missed Three Point Jumper.,53,54
11:30,2633,Lamonte Turner Defensive Rebound.,53,54
11:30,2633,James Daniel III made Three Point Jumper.,53,57
11:30,153,Luke Maye missed Jumper.,53,57
11:30,2633,Kyle Alexander Defensive Rebound.,53,57
10:25,2633,Lamonte Turner made Layup. Assisted by James Daniel III.,53,59
10:17,153,Joel Berry II made Jumper.,55,59
9:41,2633,Chris Darrington missed Three Point Jumper.,55,59
9:41,153,Luke Maye Defensive Rebound.,55,59
9:33,153,Kenny Williams made Layup. Assisted by Joel Berry II.,57,59
9:06,2633,Grant Williams missed Jumper.,57,59
9:06,2633,Kyle Alexander Offensive Rebound.,57,59
9:02,2633,Kyle Alexander missed Layup.,57,59
9:02,153,Theo Pinson Defensive Rebound.,57,59
9:02,2633,Foul on Kyle Alexander.,57,59
8:51,153,Jalek Felton Turnover.,57,59
8:41,153,Foul on Brandon Robinson.,57,59
8:41,2633,Jordan Bowden made Free Throw.,57,60
8:41,2633,Jordan Bowden made Free Throw.,57,61
8:33,2633,Foul on John Fulkerson.,57,61
8:33,153,Garrison Brooks made Free Throw.,58,61
8:33,153,Garrison Brooks made Free Throw.,59,61
8:13,2633,Admiral Schofield missed Three Point Jumper.,59,61
8:13,153,Garrison Brooks Defensive Rebound.,59,61
8:02,2633,Foul on James Daniel III.,59,61
8:02,153,Kenny Williams missed Free Throw.,59,61
8:02,153,North Carolina Deadball Team Rebound.,59,61
8:02,153,Kenny Williams made Free Throw.,60,61
7:51,2633,Jordan Bone missed Jumper.,60,61
7:51,2633,Jordan Bone Offensive Rebound.,60,61
7:46,2633,Jordan Bowden made Three Point Jumper. Assisted by Jordan Bone.,60,64
7:37,2633,Official TV Timeout,60,64
7:17,153,Kenny Williams Turnover.,60,64
6:52,2633,Grant Williams missed Jumper.,60,64
6:52,153,Joel Berry II Defensive Rebound.,60,64
6:43,153,Joel Berry II made Layup.,62,64
6:16,2633,Admiral Schofield missed Jumper.,62,64
6:16,153,Luke Maye Defensive Rebound.,62,64
6:06,153,Luke Maye missed Three Point Jumper.,62,64
6:06,2633,Jordan Bone Defensive Rebound.,62,64
6:00,2633,Lamonte Turner missed Three Point Jumper.,62,64
6:00,153,Garrison Brooks Defensive Rebound.,62,64
5:51,153,Joel Berry II missed Three Point Jumper.,62,64
5:51,2633,Tennessee Defensive Rebound.,62,64
5:36,2633,Jordan Bowden missed Layup.,62,64
5:36,153,Brandon Robinson Block.,62,64
5:36,153,Theo Pinson Defensive Rebound.,62,64
5:26,153,Joel Berry II missed Three Point Jumper.,62,64
5:26,153,Sterling Manley Offensive Rebound.,62,64
5:26,2633,Foul on John Fulkerson.,62,64
5:26,153,Sterling Manley missed Free Throw.,62,64
5:26,153,North Carolina Deadball Team Rebound.,62,64
5:26,153,Sterling Manley missed Free Throw.,62,64
5:26,2633,Lamonte Turner Defensive Rebound.,62,64
5:10,153,Foul on Joel Berry II.,62,64
5:10,2633,Admiral Schofield made Free Throw.,62,65
5:10,2633,Admiral Schofield made Free Throw.,62,66
4:51,153,Sterling Manley made Dunk. Assisted by Brandon Robinson.,64,66
4:32,2633,Jordan Bone missed Three Point Jumper.,64,66
4:32,2633,John Fulkerson Offensive Rebound.,64,66
4:28,2633,John Fulkerson missed Layup.,64,66
4:28,153,Sterling Manley Block.,64,66
4:28,153,Brandon Robinson Defensive Rebound.,64,66
4:21,2633,Foul on Jordan Bowden.,64,66
4:21,153,Brandon Robinson missed Free Throw.,64,66
4:21,153,North Carolina Deadball Team Rebound.,64,66
4:21,153,Brandon Robinson made Free Throw.,65,66
4:11,2633,Lamonte Turner missed Layup.,65,66
4:11,2633,Tennessee Offensive Rebound.,65,66
4:05,2633,Grant Williams missed Jumper.,65,66
4:05,153,Joel Berry II Defensive Rebound.,65,66
3:36,153,Joel Berry II missed Layup.,65,66
3:36,153,Sterling Manley Offensive Rebound.,65,66
3:30,153,Sterling Manley missed Layup.,65,66
3:30,2633,Lamonte Turner Defensive Rebound.,65,66
3:20,2633,Official TV Timeout,65,66
3:10,2633,Lamonte Turner missed Three Point Jumper.,65,66
3:10,153,Garrison Brooks Defensive Rebound.,65,66
2:53,153,Garrison Brooks made Layup. Assisted by Joel Berry II.,67,66
2:34,2633,Tennessee  Timeout,67,66
2:30,153,Foul on Theo Pinson.,67,66
2:22,153,Foul on Luke Maye.,67,66
2:18,153,Foul on Luke Maye.,67,66
2:18,2633,Jordan Bowden made Free Throw.,67,67
2:18,2633,Jordan Bowden made Free Throw.,67,68
1:59,153,Joel Berry II missed Jumper.,67,68
1:59,2633,James Daniel III Defensive Rebound.,67,68
1:29,2633,Tennessee  Timeout,67,68
1:25,2633,Tennessee  Turnover.,67,68
1:24,153,Luke Maye Turnover.,67,68
1:12,2633,Grant Williams made Layup.,67,70
1:00,2633,Foul on Admiral Schofield.,67,70
1:00,153,Joel Berry II made Free Throw.,68,70
1:00,153,Joel Berry II made Free Throw.,69,70
1:00,153,North Carolina  Timeout,69,70
0:53,2633,Lamonte Turner Turnover.,69,70
0:53,153,Luke Maye Steal.,69,70
0:33,153,Kenny Williams made Three Point Jumper. Assisted by Theo Pinson.,72,70
0:18,2633,Admiral Schofield missed Jumper.,72,70
0:18,153,Theo Pinson Defensive Rebound.,72,70
0:15,2633,Foul on Grant Williams.,72,70
0:15,153,Theo Pinson made Free Throw.,73,70
0:15,153,Theo Pinson made Free Throw.,74,70
0:15,153,North Carolina  Timeout,74,70
0:12,2633,Grant Williams Turnover.,74,70
0:12,153,Theo Pinson Steal.,74,70
0:11,2633,Foul on Grant Williams.,74,70
0:11,153,Theo Pinson made Free Throw.,75,70
0:11,153,Theo Pinson made Free Throw.,76,70
0:07,2633,Jordan Bowden made Three Point Jumper. Assisted by James Daniel III.,76,73
0:06,2633,Tennessee  Timeout,76,73
0:04,2633,Foul on Admiral Schofield.,76,73
0:04,153,Joel Berry II made Free Throw.,77,73
0:04,153,Joel Berry II made Free Throw.,78,73
0:04,2633,James Daniel III missed Three Point Jumper.,78,73
0:04,2633,Tennessee Deadball Team Rebound.,78,73
0:00,2633,End of Game,78,73
