Texas A&amp;M-CC,2636,UT San Antonio,357
8:14,357,Joseph Kilgore Defensive Rebound.,42,58
8:09,357,Joseph Kilgore Turnover.,42,58
8:08,2636,Giovanni De Nicolao Steal.,42,58
7:43,2636,Official TV Timeout,42,58
7:30,2636,Byron Frohnen missed Layup.,42,58
7:30,357,Joseph Kilgore Defensive Rebound.,42,58
7:24,357,Joseph Kilgore Turnover.,42,58
7:23,2636,George Willborn III Steal.,42,58
7:22,357,Foul on Kareem South.,42,58
7:22,2636,George Willborn III made Free Throw.,42,59
7:22,2636,George Willborn III made Free Throw.,42,60
7:03,357,Sean Rhea Turnover.,42,60
7:03,2636,Austin Karrer Steal.,42,60
6:54,2636,Nick Allen Turnover.,42,60
6:54,357,Sean Rhea Steal.,42,60
6:32,357,Sean Rhea missed Jumper.,42,60
6:32,2636,Byron Frohnen Defensive Rebound.,42,60
6:15,2636,Giovanni De Nicolao Turnover.,42,60
6:14,357,Kareem South Steal.,42,60
6:12,357,Sean Rhea made Layup. Assisted by Kareem South.,44,60
6:12,2636,Foul on Nick Allen.,44,60
6:12,357,Sean Rhea missed Free Throw.,44,60
6:12,357,Texas A&M-CC Deadball Team Rebound.,44,60
6:12,357,Sean Rhea made Free Throw.,45,60
6:12,2636,UT San Antonio  Turnover.,45,60
6:12,357,Emmanuel Toney Turnover.,45,60
6:08,2636,George Willborn III made Dunk. Assisted by Byron Frohnen.,45,62
5:41,357,Perry Francois Turnover.,45,62
5:41,2636,Austin Karrer Steal.,45,62
5:37,2636,Giovanni De Nicolao missed Three Point Jumper.,45,62
5:37,357,Perry Francois Defensive Rebound.,45,62
5:23,357,Sean Rhea made Layup. Assisted by Perry Francois.,47,62
5:21,2636,Foul on Giovanni De Nicolao.,47,62
5:21,357,Sean Rhea made Free Throw.,48,62
5:20,357,Foul on Colin Hale.,48,62
5:20,2636,Austin Karrer missed Free Throw.,48,62
5:20,357,Elijah Schmidt Defensive Rebound.,48,62
5:14,2636,Foul on Keaton Wallace.,48,62
5:14,357,Emmanuel Toney made Free Throw.,49,62
5:14,357,Emmanuel Toney made Free Throw.,50,62
5:14,2636,UT San Antonio  Timeout,50,62
5:05,2636,Kendell Ramlal made Dunk. Assisted by George Willborn III.,50,64
4:48,357,Elijah Schmidt missed Jumper.,50,64
4:48,2636,Nick Allen Defensive Rebound.,50,64
4:37,357,Foul on Colin Hale.,50,64
4:37,2636,George Willborn III made Free Throw.,50,65
4:37,2636,George Willborn III missed Free Throw.,50,65
4:37,2636,UT San Antonio Offensive Rebound.,50,65
4:29,2636,Nick Allen Turnover.,50,65
4:14,357,Emmanuel Toney made Three Point Jumper. Assisted by Kyle Brown.,53,65
4:10,357,Texas A&M-CC  Timeout,53,65
4:10,2636,Official TV Timeout,53,65
3:56,2636,Foul on Kendell Ramlal.,53,65
3:56,2636,Kendell Ramlal Turnover.,53,65
3:49,357,Emmanuel Toney Turnover.,53,65
3:48,2636,George Willborn III Steal.,53,65
3:29,357,Foul on Kyle Brown.,53,65
3:29,2636,Jhivvan Jackson missed Free Throw.,53,65
3:29,2636,UT San Antonio Deadball Team Rebound.,53,65
3:29,2636,Jhivvan Jackson made Free Throw.,53,66
3:13,357,Emmanuel Toney missed Jumper.,53,66
3:13,2636,Byron Frohnen Defensive Rebound.,53,66
2:55,2636,Keaton Wallace missed Three Point Jumper.,53,66
2:55,357,Joseph Kilgore Defensive Rebound.,53,66
2:47,357,Joseph Kilgore missed Jumper.,53,66
2:47,2636,Giovanni De Nicolao Defensive Rebound.,53,66
2:38,2636,Jhivvan Jackson made Layup. Assisted by Giovanni De Nicolao.,53,68
2:24,2636,Foul on Kendell Ramlal.,53,68
2:24,357,Sean Rhea missed Free Throw.,53,68
2:24,357,Texas A&M-CC Deadball Team Rebound.,53,68
2:24,357,Sean Rhea missed Free Throw.,53,68
2:24,2636,Byron Frohnen Defensive Rebound.,53,68
2:10,2636,Giovanni De Nicolao Turnover.,53,68
2:09,357,Kyle Brown Steal.,53,68
2:05,357,Kareem South missed Three Point Jumper.,53,68
2:05,357,Kareem South Offensive Rebound.,53,68
1:51,2636,Foul on Giovanni De Nicolao.,53,68
1:51,357,Colin Hale made Free Throw.,54,68
1:51,357,Colin Hale missed Free Throw.,54,68
1:51,2636,Austin Karrer Defensive Rebound.,54,68
1:27,2636,Giovanni De Nicolao made Jumper.,54,70
1:17,2636,Foul on Kendell Ramlal.,54,70
1:17,357,Kyle Brown made Free Throw.,55,70
1:17,357,Kyle Brown missed Free Throw.,55,70
1:17,2636,Austin Karrer Defensive Rebound.,55,70
1:05,2636,UT San Antonio  Timeout,55,70
0:59,2636,Kendell Ramlal made Dunk. Assisted by Keaton Wallace.,55,72
0:52,357,Kareem South made Three Point Jumper. Assisted by Kyle Brown.,58,72
0:29,2636,Keaton Wallace missed Jumper.,58,72
0:29,357,Kareem South Defensive Rebound.,58,72
0:20,357,Kareem South missed Layup.,58,72
0:20,2636,Kendell Ramlal Block.,58,72
0:19,2636,Giovanni De Nicolao Defensive Rebound.,58,72
0:00,2636,End of Game,58,72
