Johnson &amp; Wales (CO),Error,Air Force,2005
18:35,2005,Ryan Manning missed Jumper.,28,62
18:35,-1,Bailey Stephens Defensive Rebound.,28,62
18:21,-1,Cole Moore missed Three Point Jumper.,28,62
18:21,2005,Air Force Defensive Rebound.,28,62
18:06,2005,Lavelle Scottie made Three Point Jumper. Assisted by Sid Tomes.,28,65
17:49,-1,Bailey Stephens Turnover.,28,65
17:49,-1,Foul on Bailey Stephens.,28,65
17:38,2005,Lavelle Scottie made Layup. Assisted by Frank Toohey.,28,67
17:13,-1,Andrew Romero III made Three Point Jumper. Assisted by Cole Moore.,31,67
17:04,2005,Ryan Manning Turnover.,31,67
17:04,-1,Bailey Stephens Steal.,31,67
16:41,-1,Bryson Sharpley made Jumper.,33,67
16:25,-1,Foul on Bryson Sharpley.,33,67
16:23,2005,Lavelle Scottie Turnover.,33,67
16:23,-1,Jontrell Herman Steal.,33,67
16:18,2005,Foul on Pervis Louder.,33,67
16:18,-1,Jontrell Herman made Free Throw.,34,67
16:18,-1,Jontrell Herman missed Free Throw.,34,67
16:18,2005,Jonathan DeWane Defensive Rebound.,34,67
16:09,2005,Jonathan DeWane missed Three Point Jumper.,34,67
16:09,2005,Lavelle Scottie Offensive Rebound.,34,67
16:05,2005,Lavelle Scottie made Layup.,34,69
15:56,-1,Andrew Romero III missed Layup.,34,69
15:56,2005,Jacob Van Defensive Rebound.,34,69
15:37,2005,Jonathan DeWane made Jumper.,34,71
15:23,-1,Jontrell Herman Turnover.,34,71
15:22,2005,Jonathan DeWane Steal.,34,71
15:20,-1,Foul on Jontrell Herman.,34,71
15:20,2005,Official TV Timeout,34,71
15:15,2005,Jonathan DeWane made Dunk. Assisted by CJ Siples.,34,73
14:41,-1,Cole Moore made Three Point Jumper. Assisted by Jontrell Herman.,37,73
14:19,2005,Jonathan DeWane made Layup. Assisted by CJ Siples.,37,75
14:02,-1,Andrew Romero III made Layup.,39,75
13:44,-1,Foul on Bryson Sharpley.,39,75
13:42,2005,Keaton Van Soelen made Layup. Assisted by Jacob Van.,39,77
13:22,2005,Foul on Keaton Van Soelen.,39,77
13:22,-1,Edmond Myers Jr. made Free Throw.,40,77
13:22,-1,Edmond Myers Jr. missed Free Throw.,40,77
13:22,2005,Jonathan DeWane Defensive Rebound.,40,77
13:12,2005,Jacob Van made Three Point Jumper. Assisted by CJ Siples.,40,80
12:54,-1,Andrew Romero III missed Three Point Jumper.,40,80
12:54,-1,Cole Moore Offensive Rebound.,40,80
12:51,-1,Cole Moore missed Jumper.,40,80
12:51,2005,Jonathan DeWane Defensive Rebound.,40,80
12:38,2005,Jacob Van missed Jumper.,40,80
12:38,-1,Bailey Stephens Defensive Rebound.,40,80
12:22,-1,Bailey Stephens made Three Point Jumper. Assisted by Andrew Romero III.,43,80
12:00,2005,Pervis Louder made Dunk. Assisted by Jacob Van.,43,82
11:44,-1,Edmond Myers Jr. made Three Point Jumper. Assisted by Andrew Romero III.,46,82
11:36,-1,Foul on Edmond Myers Jr..,46,82
11:36,2005,Official TV Timeout,46,82
11:14,2005,CJ Siples made Layup.,46,84
11:01,-1,Edmond Myers Jr. missed Three Point Jumper.,46,84
11:01,2005,CJ Siples Defensive Rebound.,46,84
10:54,2005,Keaton Van Soelen missed Three Point Jumper.,46,84
10:54,-1,Jalen Scadndrett Defensive Rebound.,46,84
10:30,-1,Jontrell Herman made Jumper.,48,84
10:09,2005,Christopher Joyce Turnover.,48,84
10:08,-1,Jontrell Herman Steal.,48,84
10:05,-1,Edmond Myers Jr. made Layup. Assisted by Jontrell Herman.,50,84
9:41,2005,Ryan Swan missed Layup.,50,84
9:41,2005,Ryan Swan Offensive Rebound.,50,84
9:39,2005,Ryan Swan made Layup.,50,86
9:15,-1,Jontrell Herman made Three Point Jumper.,53,86
9:03,2005,Caleb Morris missed Three Point Jumper.,53,86
9:03,-1,Jontrell Herman Defensive Rebound.,53,86
8:58,-1,Jontrell Herman Turnover.,53,86
8:58,-1,Foul on Jontrell Herman.,53,86
8:44,2005,Christopher Joyce made Three Point Jumper. Assisted by Ryan Swan.,53,89
8:25,2005,Foul on Christopher Joyce.,53,89
8:25,-1,Edmond Myers Jr. made Free Throw.,54,89
8:25,-1,Edmond Myers Jr. made Free Throw.,55,89
8:14,2005,LeSean Brown made Layup.,55,91
7:48,-1,Bryson Sharpley made Jumper. Assisted by Jalen Scadndrett.,57,91
7:30,2005,Caleb Morris missed Jumper.,57,91
7:30,-1,Andrew Romero III Defensive Rebound.,57,91
7:20,2005,Foul on Ryan Swan.,57,91
7:20,2005,Official TV Timeout,57,91
7:20,-1,Cole Moore missed Free Throw.,57,91
7:20,-1,Johnson & Wales (CO) Deadball Team Rebound.,57,91
7:20,-1,Cole Moore made Free Throw.,58,91
7:20,-1,Cole Moore made Free Throw.,59,91
7:08,2005,Jonathan DeWane made Jumper.,59,93
6:35,-1,Jalen Scadndrett missed Three Point Jumper.,59,93
6:35,2005,Jonathan DeWane Defensive Rebound.,59,93
6:25,2005,Jonathan DeWane made Three Point Jumper. Assisted by Christopher Joyce.,59,96
6:02,-1,Bryson Sharpley missed Jumper.,59,96
6:02,2005,Caleb Morris Defensive Rebound.,59,96
5:54,-1,Foul on Bryson Sharpley.,59,96
5:54,2005,LeSean Brown missed Free Throw.,59,96
5:54,2005,Air Force Deadball Team Rebound.,59,96
5:54,2005,LeSean Brown made Free Throw.,59,97
5:31,-1,Bailey Stephens made Jumper. Assisted by Andrew Romero III.,61,97
5:02,2005,Dane Norman Turnover.,61,97
5:01,-1,Cole Moore Steal.,61,97
4:57,-1,Jontrell Herman missed Jumper.,61,97
4:57,2005,Ameka Akaya Defensive Rebound.,61,97
4:51,2005,Caleb Morris made Layup. Assisted by Ameka Akaya.,61,99
4:40,-1,Andrew Romero III missed Three Point Jumper.,61,99
4:40,-1,Bailey Stephens Offensive Rebound.,61,99
4:32,-1,Andrew Romero III made Three Point Jumper. Assisted by Jontrell Herman.,64,99
4:16,2005,Dane Norman missed Three Point Jumper.,64,99
4:16,-1,Bailey Stephens Defensive Rebound.,64,99
4:06,2005,Foul on Caleb Morris.,64,99
4:00,-1,Edmond Myers Jr. missed Three Point Jumper.,64,99
4:00,-1,Andrew Romero III Offensive Rebound.,64,99
3:55,-1,Bailey Stephens missed Layup.,64,99
3:55,2005,Dane Norman Defensive Rebound.,64,99
3:50,2005,Dane Norman made Jumper.,64,101
3:25,-1,Bailey Stephens missed Three Point Jumper.,64,101
3:25,2005,Air Force Defensive Rebound.,64,101
3:24,2005,Official TV Timeout,64,101
3:10,2005,Ameka Akaya made Jumper.,64,103
2:48,-1,Cole Moore Turnover.,64,103
2:47,2005,James Edwards Steal.,64,103
2:44,2005,James Edwards made Layup.,64,105
2:30,-1,Johnson & Wales (CO)  Timeout,64,105
2:17,2005,Foul on Charles O'Briant.,64,105
2:17,-1,Jontrell Herman made Free Throw.,65,105
2:17,-1,Jontrell Herman made Free Throw.,66,105
2:03,-1,Foul on Mike Howerton.,66,105
2:03,2005,Charles O'Briant made Free Throw.,66,106
2:03,2005,Charles O'Briant missed Free Throw.,66,106
2:03,2005,Ameka Akaya Offensive Rebound.,66,106
2:00,2005,Ameka Akaya missed Layup.,66,106
2:00,2005,Bryce Hughes Offensive Rebound.,66,106
1:56,2005,Bryce Hughes made Layup.,66,108
1:34,-1,Mike Howerton made Jumper.,68,108
1:17,2005,Charles O'Briant made Three Point Jumper. Assisted by Ameka Akaya.,68,111
0:55,-1,Edmond Myers Jr. missed Three Point Jumper.,68,111
0:55,2005,Charles O'Briant Defensive Rebound.,68,111
0:47,2005,James Edwards missed Three Point Jumper.,68,111
0:47,-1,Mike Howerton Defensive Rebound.,68,111
0:18,-1,Andrew Romero III missed Layup.,68,111
0:18,-1,Johnson & Wales (CO) Offensive Rebound.,68,111
0:13,-1,Andrew Romero III missed Three Point Jumper.,68,111
0:13,2005,Kobi Betts Defensive Rebound.,68,111
0:00,2005,End of Game,68,111
